Symbol,DY,PB,PCYH,PCYL,PE,PEG,PS,SR,SECTOR
AMRB,1.41,1.1,-0.1182,0.4086,15.11,1.21,3.96,0.31,Finance
AMSWA,4.11,3.32,-0.10220000000000001,0.1213,41.39,1.86,2.9,3.02,Technology
AMWD,0.0,4.33,-0.0617,0.4622,21.74,2.55,1.4,2.45,Basic Industries
CRMT,0.0,1.25,-0.222,0.6265,14.92,2.27,0.49,4.82,Consumer Durables
ABCB,0.89,2.12,-0.096,0.6028,19.53,2.17,4.85,3.37,Finance
AMSF,1.53,2.14,-0.2486,0.018600000000000002,14.98,1.66,2.55,8.17,Finance
ASRV,1.47,0.8,-0.0073,0.3712,15.83,0.0,1.59,3.32,Finance
ATLO,2.92,1.67,-0.1989,0.2146,17.97,0.0,5.93,15.35,Finance
AMGN,2.96,3.73,-0.1585,0.15990000000000001,14.72,2.98,4.99,1.76,Health Care
AMKR,0.0,1.97,-0.0593,1.2026000000000001,18.01,1.1,0.69,3.76,Technology
AMPH,0.0,2.18,-0.2198,0.4083,89.32,1.72,2.8,5.3,Health Care
AFSI,5.46,0.89,-0.5084000000000001,0.1864,8.03,0.59,0.38,4.67,Finance
ADI,2.19,4.8,-0.017,0.5872999999999999,28.24,1.19,7.0,2.64,Technology
ALOG,0.56,1.66,-0.2493,0.033,38.62,1.51,1.73,6.98,Capital Goods
ANCB,0.0,0.96,-0.09269999999999999,0.1035,30.13,0.0,3.12,0.09,Finance
ANIP,0.0,3.2,-0.3518,0.051699999999999996,143.66,0.93,3.81,3.58,Health Care
ANIK,0.0,2.96,-0.15960000000000002,0.1162,22.29,2.33,6.51,8.83,Health Care
ANSS,0.0,4.88,-0.0054,0.528,40.65,3.34,10.62,4.65,Technology
APOG,1.07,3.2,-0.12869999999999998,0.33270000000000005,17.9,1.03,1.35,28.7,Capital Goods
AAPL,1.64,5.97,-0.0194,0.6788,18.02,1.56,3.64,2.33,Technology
ARCI,0.0,0.4286,-0.5029140000000001,0.08737500000000001,4.5307,0.0,0.0551,0.17,Consumer Services
AGTC,0.0,0.83,-0.6927,0.07,12.77,0.0,2.28,2.57,Health Care
AMAT,0.89,5.91,-0.0052,1.0523,18.82,0.59,3.75,1.37,Technology
AAOI,0.0,4.67,-0.0197,6.8842,25.2,0.83,4.21,1.93,Technology
ARCB,1.66,0.83,-0.4448,0.26940000000000003,28.65,2.03,0.18,3.54,Transportation
ACGL,0.0,1.89,-0.0359,0.4156,16.19,1.49,2.71,4.42,Finance
ACGLP,0.0,0.45,-0.0483,0.1802,6.16,0.0,0.1,0.0,Finance
AGII,1.74,1.02,-0.0931,0.2749,12.39,2.29,1.16,2.65,Finance
ARIS,0.0,2.99,-0.068,0.3639,65.12,3.47,1.83,0.52,Technology
ARKR,3.85,2.2,-0.057,0.27399999999999997,15.99,0.0,0.57,0.47,Consumer Services
ARRS,0.0,1.73,-0.1202,0.38299999999999995,29.41,0.57,0.79,1.78,Technology
AROW,3.08,1.86,-0.217,0.1566,16.57,2.25,4.46,9.94,Finance
ARTNA,2.57,2.35,-0.10300000000000001,0.379,25.17,6.05,4.13,2.23,Public Utilities
ASBB,0.0,1.52,-0.0333,0.6701,76.46,0.0,4.37,1.11,Finance
ASNA,0.0,0.18,-0.8103,0.048499999999999995,48.06,0.63,0.05,10.12,Consumer Services
APWC,0.0,0.27,-0.1452,0.3184,12.86,0.0,0.09,4.51,Basic Industries
ASML,0.94,4.82,-0.022400000000000003,0.47229999999999994,33.8,1.62,7.18,3.82,Technology
ASFI,0.0,0.54,-0.4403,0.07200000000000001,117.54,0.0,1.24,0.87,Finance
ASTE,0.72,1.94,-0.2377,0.0812,24.75,2.09,1.08,1.2,Capital Goods
ATRO,0.0,2.59,-0.24739999999999998,0.132,19.18,1.34,1.43,2.54,Capital Goods
ALOT,2.0,1.48,-0.1469,0.12,28.57,0.0,1.06,0.47,Technology
ATAI,0.0,1.27,-0.3772,0.1993,19.51,0.0,1.16,0.38,Consumer Services
ATHN,0.0,7.72,-0.0584,0.48810000000000003,263.96,3.53,4.78,23.05,Miscellaneous
AAME,0.53,0.72,-0.18280000000000002,0.2418,77.55,0.0,0.46,1.23,Finance
ACBI,0.0,1.54,-0.0767,0.4065,34.54,0.0,5.11,4.86,Finance
ACFC,0.0,1.34,-0.08259999999999999,0.38520000000000004,18.55,0.0,3.36,0.6,Finance
ABY,4.87,1.13,-0.10279999999999999,0.2682,218.3,0.11,2.11,4.91,Public Utilities
AAWW,0.0,0.84,-0.1722,0.45380000000000004,31.27,0.87,0.67,4.04,Transportation
AFH,0.0,1.36,-0.1875,0.2305,75.51,0.0,0.98,3.66,Finance
AFHBL,0.0,2.33,-0.006999999999999999,0.0106,129.65,0.0,1.67,0.0,Finance
ATNI,2.13,1.52,-0.2706,0.050300000000000004,80.99,29.16,2.08,4.22,Public Utilities
ATRI,0.77,5.98,-0.0021,0.40850000000000003,33.27,0.0,6.87,5.86,Health Care
AUBN,2.7,1.4904,-0.064619,0.257973,15.8502,0.0,4.7425,0.67,Finance
AUDC,0.0,2.06,-0.0661,0.8423999999999999,13.22,0.82,1.46,0.15,Public Utilities
ABTL,0.0,1.11,-0.3078,0.1875,35.46,0.41,0.9,1.61,Technology
ADP,2.25,11.04,-0.040999999999999995,0.1891,26.22,2.39,3.71,3.53,Technology
CAR,0.0,13.49,-0.46909999999999996,0.0318,18.65,0.32,0.22,6.66,Consumer Services
AWRE,0.0,1.74,-0.2836,0.3873,28.07,0.0,4.97,1.4,Technology
ACLS,0.0,3.05,-0.0219,1.3089,37.56,0.97,2.31,5.64,Technology
AAXN,0.0,8.35,-0.1741,0.17559999999999998,70.94,3.2,4.51,9.46,Capital Goods
AXTI,0.0,1.59,-0.2254,1.2712,36.02,3.58,3.12,0.53,Technology
RILY,2.26,1.69,-0.2981,0.7578,8.12,0.0,1.23,8.5,Miscellaneous
BOSC,0.0,0.68,-0.5835,0.1099,19.24,0.0,0.23,8.46,Technology
BIDU,0.0,4.88,-0.0375,0.2261,42.21,74.41,6.41,2.21,Technology
BCPC,0.48,4.68,-0.10640000000000001,0.4019,43.0,1.31,4.57,9.38,Basic Industries
BWINA,4.6,0.86,-0.125,0.048,16.49,0.0,1.1,1.04,Finance
BWINB,4.47,0.88,-0.13,0.0664,16.85,2.16,1.13,0.66,Finance
BANF,1.6,2.07,-0.0791,0.6954,20.08,1.9,4.87,6.85,Finance
BCTF,0.0,0.849,0.0,0.1272,8.827,0.0,1.911,0.58,Finance
BKMU,2.42,1.45,-0.1127,0.23800000000000002,25.86,4.79,4.4,2.63,Finance
BOCH,1.07,1.56,-0.013000000000000001,0.8759999999999999,18.04,2.62,3.66,0.83,Finance
BMRC,1.77,1.58,-0.17920000000000003,0.3062,17.16,1.72,4.47,2.11,Finance
BKSC,2.85,2.3461,-0.180221,0.251599,18.8943,0.0,5.6955,0.21,Finance
BOTJ,1.61,1.31,-0.1924,0.278,20.75,0.0,2.92,0.38,Finance
OZRK,1.52,1.95,-0.1979,0.3611,16.69,1.27,7.35,15.51,Finance
BFIN,1.92,1.34,-0.042,0.2838,37.46,3.09,5.09,2.59,Finance
BWFG,0.88,1.68,-0.17379999999999998,0.5517,18.7,0.0,5.01,5.23,Finance
BANR,1.83,1.37,-0.1084,0.4021,19.99,2.04,3.99,6.42,Finance
BZUN,0.0,4.82,-0.1036,2.52,88.0,23.01,2.18,2.12,Consumer Services
BBSI,1.75,7.18,-0.1469,0.5835,27.07,0.0,0.48,1.62,Technology
BSET,1.43,1.65,-0.10800000000000001,0.289,20.2,1.19,0.7,4.94,Consumer Durables
BYBK,0.0,1.19,-0.1091,0.49689999999999995,31.96,0.0,3.11,0.11,Finance
BCBP,3.56,1.51,-0.0762,0.5594,22.0,0.0,2.85,0.46,Finance
BECN,0.0,2.16,-0.0746,0.221,29.43,1.36,0.69,3.87,Consumer Services
BSF,1.36,1.39,-0.18899999999999997,0.026600000000000002,17.76,0.0,3.94,6.07,Finance
