Symbol,DY,PB,PCYH,PCYL,PE,PEG,PS,SR,SECTOR
LVNTB,0.0,1.9688,-0.046158000000000005,0.458071,5.3913,0.0,15.8903,1.14,Consumer Services
QVCA,0.0,2.21,-0.1295,0.3759,23.86,3.93,1.05,1.5,Consumer Services
QVCB,0.0,2.23,-0.1153,0.3547,24.01,0.0,1.06,2.48,Consumer Services
LSXMA,0.0,1.34,-0.0092,0.4279,31.94,0.86,2.66,2.98,Consumer Services
LSXMB,0.0,1.25,-0.08349999999999999,0.32030000000000003,28.87,0.0,2.48,3.58,Consumer Services
LSXMK,0.0,1.34,-0.008100000000000001,0.4643,31.89,1.03,2.66,2.03,Consumer Services
TAX,4.31,2.31,-0.0864,0.4244,12.94,0.83,1.23,6.98,Miscellaneous
LTRPA,0.0,1.17,-0.5089,0.038599999999999995,30.25,0.0,0.6,1.26,Technology
LTRPB,0.0,1.31,-0.4526,0.026099999999999998,34.38,0.0,0.67,2.26,Technology
LPNT,0.0,1.13,-0.1204,0.23420000000000002,16.48,1.66,0.4,7.7,Health Care
LCUT,0.94,1.32,-0.1392,0.517,14.27,1.19,0.44,1.25,Capital Goods
LFVN,0.0,3.85,-0.7639,0.0189,14.28,0.0,0.27,5.96,Health Care
LWAY,0.0,3.28,-0.461,0.1475,60.73,4.28,1.29,2.88,Consumer Non-Durables
LPTH,0.0,3.32,-0.061500000000000006,1.5207,33.89,0.0,3.15,1.16,Technology
LMNR,1.18,2.16,-0.146,0.1772,28.66,1.84,2.33,7.58,Consumer Non-Durables
LECO,1.58,7.46,-0.031200000000000002,0.5787,29.61,3.14,2.54,6.0,Technology
LFUS,0.81,4.32,-0.061,0.4499,29.88,1.51,3.29,4.04,Consumer Durables
LOB,0.32,3.86,-0.023399999999999997,0.9756,58.12,0.0,6.69,19.24,Finance
LKQ,0.0,2.69,-0.132,0.1329,20.08,0.63,1.08,2.05,Consumer Services
LOGI,2.34,7.13,-0.0054,1.4929,31.83,1.94,2.72,25.16,Technology
LPLA,2.53,4.11,-0.09359999999999999,0.9351999999999999,18.99,0.92,0.88,0.87,Finance
LYTS,2.31,1.38,-0.2506,0.0751,61.91,2.16,0.67,5.81,Consumer Durables
LULU,0.0,4.91,-0.4105,0.0042,21.82,1.59,2.85,7.28,Consumer Non-Durables
LMNX,1.18,2.15,-0.1406,0.157,63.39,0.7,3.14,10.02,Health Care
MBTF,1.94,1.82,-0.1592,0.4799,16.09,0.0,4.11,8.31,Finance
MCBC,1.73,1.89,-0.1284,0.4242,18.64,4.28,4.56,6.64,Finance
MFNC,3.45,1.1,-0.0788,0.3231,17.0,0.0,2.27,2.65,Finance
MAGS,0.0,1.62,-0.28,0.4118,101.05,0.0,1.97,2.75,Consumer Durables
MGLN,0.0,1.45,-0.1754,0.4111,20.39,-9.82,0.33,0.92,Health Care
MGIC,2.06,1.83,-0.069,0.2539,28.83,1.14,1.67,2.5,Technology
MGYR,0.0,1.4883,-0.141023,0.330746,66.1943,0.0,4.013,3.0,Finance
MHLD,5.63,0.87,-0.41950000000000004,0.0732,183.33,0.59,0.33,3.2,Finance
MSFG,2.06,1.73,-0.0808,0.6396000000000001,18.93,1.94,4.51,3.47,Finance
MBUU,0.0,10.77,-0.0382,1.0668,18.82,1.02,1.54,7.97,Capital Goods
MLVF,0.0,1.45,-0.011200000000000002,0.4667,11.9,0.0,6.72,1.47,Finance
MAMS,0.0,11.13,-0.20850000000000002,0.1804,20.92,0.0,2.4,1.62,Technology
MANH,0.0,22.33,-0.3104,0.0542,27.13,1.67,5.52,6.04,Technology
LOAN,7.39,1.92,-0.2876,0.24710000000000001,14.69,0.0,10.97,0.95,Consumer Services
MANT,2.15,1.21,-0.1439,0.16329999999999997,25.88,8.53,0.93,2.3,Consumer Services
MARPS,10.1,8.21,-0.3097,0.2891,12.8,0.0,9.38,0.06,Energy
MKTX,0.67,15.22,-0.0335,0.44,52.73,2.85,19.05,1.67,Finance
MRLN,2.28,1.85,-0.0506,0.769,20.97,1.53,3.64,1.96,Finance
MAR,1.24,7.85,-0.005600000000000001,0.7562000000000001,37.87,1.92,10.04,3.96,Consumer Services
MRTN,0.4,1.83,-0.0832,0.3262,24.31,2.42,1.2,3.39,Transportation
MMLP,10.93,2.04,-0.25730000000000003,0.20989999999999998,27.28,0.0,0.82,1.76,Energy
MRVL,1.42,2.15,-0.0051,0.9525,59.7,1.07,3.59,1.0,Technology
MASI,0.0,7.07,-0.1649,0.8190000000000001,14.85,1.65,6.31,2.46,Health Care
MTCH,0.0,8.94,-0.0195,0.4913,29.36,1.8,3.98,12.25,Technology
MTRX,0.0,0.68,-0.6396999999999999,0.0562,22.78,-81.5,0.17,1.21,Basic Industries
MAT,6.85,3.43,-0.342,0.0455,28.27,1.41,1.43,4.92,Consumer Non-Durables
MATW,1.07,2.92,-0.17980000000000002,0.24050000000000002,28.9,1.39,1.38,3.67,Capital Goods
MXIM,2.76,6.24,-0.0062,0.4286,27.41,1.66,5.97,1.79,Technology
MBFI,1.81,1.41,-0.13720000000000002,0.2781,18.57,1.99,3.86,8.56,Finance
MBFIP,7.62,0.88,-0.0622,0.0069,11.65,0.0,2.4,0.0,Finance
MCFT,0.0,66.28,-0.0401,0.8195,19.29,1.45,1.56,0.42,Capital Goods
MGRC,3.12,2.01,-0.1744,0.1699,19.85,1.84,1.88,1.85,Technology
MFIN,7.81,0.21,-0.6695,0.6938,3.67,0.0,2.98,18.51,Finance
MDSO,0.0,9.88,-0.014199999999999999,0.7454999999999999,123.43,2.66,8.36,9.91,Technology
MEDP,0.0,1.77,-0.3048,0.244,57.47,1.81,2.92,1.93,Health Care
MEIP,0.0,1.32,-0.0702,0.7236,62.35,-985.0,3.18,0.38,Health Care
MLCO,0.77,3.88,-0.066,0.843,43.55,3.62,2.29,6.91,Consumer Services
MLNX,0.0,2.39,-0.09,0.24,183.4,1.19,2.8,8.29,Technology
MELR,0.0,0.91,-0.044199999999999996,0.18489999999999998,23.6,0.0,5.37,2.22,Finance
MELI,0.21,26.78,-0.0369,1.2756,81.94,1.85,13.44,4.79,Miscellaneous
MBWM,2.32,1.47,-0.1885,0.39390000000000003,16.55,2.03,4.22,1.96,Finance
MERC,4.0,1.87,-0.114,0.6358,20.91,-3.58,0.8,0.45,Basic Industries
MRCY,0.0,2.62,-0.0275,0.9196,69.69,3.06,5.12,5.27,Capital Goods
EBSB,0.97,1.37,-0.19219999999999998,0.2152,24.06,1.89,6.23,3.05,Finance
VIVO,3.58,3.45,-0.33030000000000004,0.2884,19.53,1.21,2.96,8.34,Health Care
MMSI,0.0,2.62,-0.0014000000000000002,0.9072,51.63,4.29,2.69,5.25,Health Care
MLAB,0.42,5.99,-0.0104,0.5505,50.23,0.0,5.96,16.73,Capital Goods
CASH,0.59,2.0,-0.1782,0.794,16.15,0.0,3.64,3.69,Finance
MEOH,2.43,2.3,-0.19870000000000002,0.5934,26.97,0.69,1.59,5.07,Basic Industries
MGEE,1.89,3.07,-0.0387,0.2907,28.78,0.0,4.06,2.53,Energy
MGPI,0.31,5.66,-0.0745,0.6812,28.1,1.96,2.65,11.2,Consumer Non-Durables
MCHP,1.77,5.57,-0.008,0.7088,115.89,0.8,5.34,6.92,Technology
MU,0.0,2.28,-0.0037,1.5878,46.36,6.88,2.21,1.83,Technology
MSCC,0.0,3.15,-0.1527,0.655,25.98,0.87,3.27,7.19,Technology
MSFT,2.24,7.71,-0.0037,0.45630000000000004,30.87,2.46,6.16,1.94,Technology
MSTR,0.0,3.63,-0.12789999999999999,0.1166,22.82,2.49,4.04,5.89,Technology
MPB,1.95,1.56,-0.07429999999999999,0.7268000000000001,14.19,0.0,2.82,0.57,Finance
MBCN,2.02,1.51,-0.0229,0.7039,17.61,0.0,4.66,2.2,Finance
MSEX,2.41,2.6,-0.2032,0.09960000000000001,26.08,8.64,4.31,3.56,Public Utilities
MSBI,2.31,1.63,-0.0873,0.649,15.29,2.12,3.06,4.88,Finance
MOFG,1.9,1.27,-0.11349999999999999,0.31129999999999997,18.47,2.34,3.72,4.09,Finance
MDXG,0.0,11.29,-0.12990000000000002,0.9308,95.71,3.07,5.51,32.35,Health Care
MNDO,12.82,2.9917,-0.153605,0.23800999999999997,12.1385,0.0,2.6956,1.45,Technology
MITK,0.0,6.61,-0.1027,0.5779,120.29,1.17,7.19,6.41,Technology
MKSI,0.87,3.3,-0.0225,1.0448,28.77,1.34,2.79,9.27,Capital Goods
MMAC,0.0,1.13,-0.0292,0.3763,6.38,0.0,4.18,0.38,Finance
MINI,3.27,1.62,-0.2722,0.1859,26.68,1.54,2.41,15.52,Capital Goods
MOCO,1.47,4.86,-0.0076,1.1962000000000002,38.91,0.0,2.75,0.99,Capital Goods
MOMO,0.0,10.29,-0.1482,3.4076999999999997,36.24,0.49,9.76,0.57,Technology
MCRI,0.0,2.21,-0.0042,0.49729999999999996,21.8,1.48,2.4,6.13,Consumer Services
MDLZ,1.63,2.76,-0.0083,0.1467,41.95,2.18,2.73,1.52,Consumer Non-Durables
MPWR,0.82,8.93,-0.0034000000000000002,0.5711999999999999,73.2,1.71,9.96,4.02,Technology
TYPE,2.32,2.45,-0.2314,0.1265,97.01,2.24,3.73,4.63,Technology
MNRO,1.38,2.77,-0.2865,0.0499,27.33,1.34,1.57,17.94,Consumer Services
MNST,0.0,8.16,-0.08289999999999999,0.2525,40.98,1.9,9.26,2.36,Consumer Non-Durables
MORN,1.25,4.41,-0.1376,0.08839999999999999,21.25,1.96,3.88,2.26,Finance
MPAA,0.0,2.32,-0.1532,0.3522,19.07,0.5,1.38,17.7,Capital Goods
MSBF,0.0,1.31,-0.011200000000000002,0.3807,65.56,0.0,7.65,1.59,Finance
MTGE,9.94,0.92,-0.024300000000000002,0.1852,8.34,2.87,4.96,1.89,Consumer Services
MTGEP,7.72,1.3431,-0.016871,0.05847,11.9539,0.0,7.2041,0.0,Consumer Services
MTSC,2.24,2.21,-0.10679999999999999,0.26899999999999996,44.36,2.41,1.17,14.37,Capital Goods
LABL,0.25,3.8,-0.0333,0.3271,25.4,6.05,1.47,15.03,Miscellaneous
MFSF,1.9,1.74,-0.098,0.34979999999999994,17.61,3.75,3.86,3.52,Finance
MYL,0.0,1.83,-0.2119,0.1821,39.68,0.97,1.84,3.67,Health Care
MYRG,0.0,1.82,-0.32189999999999996,0.359,23.94,3.04,0.4,1.82,Basic Industries
MYGN,0.0,1.84,-0.4255,0.3406,43.4,-3.09,1.82,15.06,Health Care
NANO,0.0,2.72,-0.1373,0.5696,15.48,2.22,2.96,2.04,Capital Goods
NSSC,0.0,3.45,-0.1142,0.7077,31.39,20.52,2.16,2.95,Consumer Durables
NDAQ,2.23,2.1,-0.0681,0.10439999999999999,78.76,1.77,2.99,3.59,Finance
NKSH,2.82,1.51,-0.1158,0.2407,18.84,0.0,6.11,38.51,Finance
FIZZ,0.0,19.6,-0.0012,1.4188,46.25,1.04,5.47,7.1,Consumer Non-Durables
NCOM,0.0,1.59,-0.06,0.6846,21.82,0.0,5.63,2.96,Finance
NGHC,0.73,1.54,-0.17079999999999998,0.24059999999999998,18.81,0.82,0.61,1.5,Finance
NGHCN,7.38,1.79,-0.0336,0.061799999999999994,21.51,0.0,0.7,0.0,Finance
NGHCO,7.34,1.78,-0.053,0.058499999999999996,21.45,0.0,0.7,0.0,Finance
NGHCP,7.39,1.8,-0.0583,0.0466,21.33,0.0,0.71,0.0,Finance
NGHCZ,0.0,1.8,-0.0316,0.0735,21.64,0.0,0.71,0.0,Finance
NHLD,0.0,0.98,-0.2912,0.30329999999999996,9.89,0.0,0.18,3.11,Finance
NATI,2.2,4.43,-0.0083,0.4788,54.02,1.87,3.98,14.83,Technology
NRCIA,1.62,7.0,-0.0436,0.9274,27.89,2.11,5.36,1.31,Health Care
NRCIB,4.87,13.97,-0.0929,0.38939999999999997,51.63,4.03,10.69,12.13,Health Care
NSEC,1.35,0.78,-0.2735,0.0625,21.09,0.0,0.56,1.68,Finance
NWLI,0.12,0.63,-0.083,0.6476999999999999,10.32,0.0,1.45,3.41,Finance
NAII,0.0,1.19,-0.2569,0.297,7.75,0.0,0.57,0.57,Consumer Durables
NHTC,1.42,3.55,-0.2054,0.35840000000000005,5.8,0.0,1.16,36.26,Consumer Durables
NATR,0.0,1.72,-0.2492,0.4702,111.26,0.0,0.67,4.13,Health Care
BABY,0.0,2.69,-0.22510000000000002,0.0703,33.08,0.94,2.7,8.94,Health Care
NAVI,4.42,1.12,-0.19329999999999997,0.3152,7.62,3.47,2.11,3.29,Finance
NBTB,2.53,1.7,-0.1537,0.3506,19.68,3.75,4.41,9.18,Finance
NCIT,0.0,2.32,-0.0204,0.7486,42.95,3.8,0.82,1.13,Technology
NEOG,0.0,5.27,-0.0883,0.312,58.32,3.65,6.74,12.31,Health Care
NEPT,0.0,1.83,-0.2614,0.2418,15.27,0.0,2.62,16.27,Health Care
UEPS,0.0,0.91,-0.3106,0.1374,5.83,0.54,0.89,2.05,Finance
NTAP,1.86,3.98,-0.0672,0.758,22.23,0.89,2.0,2.85,Technology
NTES,1.47,6.39,-0.0528,0.8158,20.4,38.47,6.06,0.64,Miscellaneous
NFLX,0.0,23.63,-0.0102,0.9222,210.13,2.61,7.39,5.24,Consumer Services
NTGR,0.0,1.71,-0.3012,0.0155,19.16,2.43,1.03,5.54,Public Utilities
NTCT,0.0,1.38,-0.0437,0.7532,102.22,1.22,2.88,15.4,Technology
NTWK,0.0,0.69,-0.4429,0.0263,177.27,14.38,0.64,0.84,Technology
NYMT,12.84,1.02,-0.1108,0.1099,12.18,0.87,6.34,8.84,Consumer Services
NYMTO,8.08,3.98,0.0,0.16670000000000001,47.67,0.0,24.8,0.0,Consumer Services
NYMTP,7.84,4.03,-0.015300000000000001,0.1545,47.68,0.0,25.15,0.0,Finance
NEWS,0.88,0.6,-0.1812,0.2564,16.62,1.12,3.84,2.13,Finance
NXST,2.09,2.24,-0.1996,0.3218,27.47,5.72,1.96,4.47,Consumer Services
NODK,0.0,1.56,-0.004699999999999999,0.2121,127.59,0.0,2.28,0.0,Finance
EGOV,1.54,9.62,-0.2027,0.0639,24.15,1.14,4.26,8.86,Miscellaneous
NICE,0.82,2.99,-0.005600000000000001,0.3237,48.27,1.77,4.29,3.47,Technology
NICK,0.0,0.63,-0.3296,0.0333,12.14,0.0,1.55,0.62,Finance
NCBS,0.0,1.49,-0.040999999999999995,0.4265,19.96,0.0,3.99,10.94,Finance
NMIH,0.0,1.3,-0.1434,1.1414,8.79,0.0,4.53,1.26,Finance
NNBR,1.02,2.3,-0.1216,1.177,45.57,0.86,0.89,12.73,Capital Goods
NDSN,0.9,7.2,-0.091,0.5293,25.2,1.49,3.64,5.73,Capital Goods
NBN,0.2,1.47,-0.0222,0.8856999999999999,17.1,0.0,3.34,0.59,Finance
NTIC,0.0,1.74,-0.1321,0.675,478.57,0.0,2.1,1.47,Capital Goods
NTRS,1.72,2.23,-0.039,0.44630000000000003,20.23,1.4,3.99,2.28,Finance
NTRSP,5.38,0.69,-0.028399999999999998,0.0998,6.23,0.0,1.23,0.0,Finance
NFBK,1.92,1.19,-0.1918,0.1628,23.77,1.56,6.45,9.41,Finance
NRIM,2.8,1.09,-0.0712,0.2587,14.39,0.0,2.14,12.54,Finance
NWBI,4.16,1.33,-0.1953,0.105,31.89,1.85,4.05,10.09,Finance
NCLH,0.0,2.5,-0.0968,0.48829999999999996,18.63,1.16,2.33,2.69,Consumer Services
NWFL,3.28,1.43,-0.1008,0.4064,21.43,0.0,4.69,2.15,Finance
NVMI,0.0,3.54,-0.058600000000000006,1.3205,34.06,0.0,3.67,0.91,Capital Goods
NOVT,0.0,4.01,-0.014499999999999999,1.3576,21.72,2.1,2.92,1.72,Miscellaneous
NUTR,1.2,2.15,-0.0165,0.8929,20.88,0.0,1.64,2.54,Consumer Durables
NTRI,1.39,15.14,-0.1243,1.192,37.38,1.49,2.51,2.14,Consumer Services
NUVA,0.0,5.54,-0.030299999999999997,0.4003,79.24,2.52,3.85,8.79,Health Care
NVEC,5.0,4.18,-0.0932,0.5259,29.93,1.18,13.67,2.38,Technology
NVDA,0.41,13.42,-0.023700000000000002,2.1824,47.61,3.68,10.91,1.41,Technology
NXPI,0.0,2.94,-0.0027,0.467,19.77,1.07,2.87,1.26,Technology
OBCI,0.0,1.698,-0.25398,1.08663,18.326,0.0,1.01,1.97,Consumer Durables
OCFC,2.28,1.44,-0.142,0.5051,23.62,1.61,5.21,5.91,Finance
OCLR,0.0,3.18,-0.2115,0.9887999999999999,16.2,0.75,2.49,3.18,Technology
ODP,1.98,1.33,-0.09029999999999999,0.6744,4.55,0.88,0.24,2.35,Consumer Services
OVBC,2.27,1.61,-0.056100000000000004,0.6404000000000001,21.71,0.0,3.96,2.16,Finance
ODFL,0.45,3.88,-0.0622,0.5696,24.45,1.93,2.44,8.06,Transportation
OLBK,1.13,1.99,-0.0379,0.6452,20.68,0.0,5.03,2.42,Finance
ONB,3.19,1.2,-0.15039999999999998,0.39030000000000004,14.95,1.92,3.31,8.89,Finance
OPOF,1.47,1.56,-0.0898,0.6175,39.52,0.0,3.88,0.63,Finance
OSBC,0.34,1.9,-0.0745,0.8523999999999999,20.7,8.24,3.66,2.67,Finance
OLLI,0.0,3.9,-0.021099999999999997,0.8742,43.44,2.32,2.86,19.18,Consumer Services
ZEUS,0.46,0.72,-0.4617,0.0163,25.59,0.4,0.17,2.19,Basic Industries
OFLX,0.0,12.27,-0.0695,0.7848999999999999,38.4,0.0,6.19,14.51,Capital Goods
OMCL,0.0,3.52,-0.029500000000000002,0.3542,2417.65,1.96,2.28,9.35,Technology
ON,0.0,3.3,-0.036699999999999997,0.91,29.79,0.48,1.44,1.08,Technology
OTEX,1.62,2.44,-0.0755,0.1502,7.64,1.14,4.05,11.16,Technology
OSUR,0.0,4.09,-0.055999999999999994,1.6643000000000001,28.43,1.76,6.77,2.47,Health Care
ORBK,0.0,2.17,-0.0603,0.4836,21.32,0.72,2.09,0.72,Capital Goods
ORLY,0.0,13.92,-0.1515,0.061200000000000004,23.16,1.34,2.58,6.55,Consumer Services
ORIT,4.22,1.33,-0.1316,0.0806,13.64,1.37,5.24,9.49,Finance
ORRF,1.81,1.34,-0.0947,0.2464,29.45,0.0,3.29,7.22,Finance
OSIS,0.0,2.7,-0.0239,0.5599000000000001,61.28,1.58,1.61,9.85,Technology
OSN,0.0,0.15,-0.4068,0.09369999999999999,2.87,0.0,0.12,0.77,Basic Industries
OTTW,1.2,0.83,-0.045,0.44770000000000004,30.43,0.0,4.68,2.53,Finance
OTTR,3.21,2.32,-0.067,0.4296,23.09,4.48,1.94,4.8,Public Utilities
OXBR,8.07,0.93,-0.1884,0.2785,11.94,0.0,1.81,0.85,Finance
PTSI,0.0,1.17,-0.40130000000000005,0.17379999999999998,10.5,0.83,0.26,3.55,Transportation
PCAR,1.6,3.11,-0.10679999999999999,0.3002,15.48,2.31,1.3,4.97,Capital Goods
PCBK,1.79,2.0,-0.0931,0.6969,25.18,1.89,6.14,2.69,Finance
PEIX,0.0,0.73,-0.4292,0.34700000000000003,347.22,0.77,0.17,1.6,Basic Industries
PPBI,0.0,2.05,-0.16949999999999998,0.5357,23.72,2.39,8.13,16.47,Finance
PACW,4.19,1.27,-0.1757,0.3335,16.94,1.68,5.72,5.86,Finance
PAAS,0.28,1.89,-0.17920000000000003,0.3224,22.92,1.68,3.29,0.55,Basic Industries
PNRA,0.0,24.73,-0.0075,0.6901,47.51,2.46,2.49,0.76,Consumer Services
PANL,0.0,0.92,-0.2973,0.4054,14.44,0.0,0.41,0.3,Transportation
PZZA,1.01,329.79,-0.1213,0.2822,28.2,1.55,1.68,4.97,Consumer Services
PBNC,0.0,2.0,-0.1001,0.5257000000000001,19.16,0.0,5.78,1.48,Finance
PRXL,0.0,7.1,-0.019299999999999998,0.5678,35.26,2.22,1.93,3.28,Health Care
PCYG,0.0,7.04,-0.2559,0.515,99.61,0.0,13.94,19.26,Technology
PSTB,1.38,1.72,-0.08810000000000001,0.7365,30.53,2.45,4.95,3.45,Finance
PKBK,1.72,1.45,-0.039,0.8406999999999999,10.69,0.0,3.64,0.35,Finance
PKOH,1.4,1.82,-0.2298,0.3299,11.5,0.86,0.34,2.37,Capital Goods
PTNR,0.0,2.55,-0.195,0.29,33.51,0.0,0.88,3.31,Public Utilities
PBHC,1.31,1.041,-0.020560000000000002,0.39254,18.884,0.0,2.579,0.45,Finance
PATK,0.0,3.84,-0.24559999999999998,0.2785,16.6,1.38,0.88,2.47,Basic Industries
PNBK,0.0,0.99,0.0,0.2891,21.6,0.0,3.12,14.98,Finance
PATI,0.0,1.43,-0.3041,0.0,10.94,0.0,0.53,7.64,Transportation
PDCO,2.32,3.01,-0.1282,0.2052,24.55,2.81,0.75,8.85,Health Care
PAYX,3.11,11.2,-0.059500000000000004,0.1232,26.95,3.23,6.84,7.95,Consumer Services
PCTY,0.0,16.37,-0.0495,0.5893999999999999,471.9,2.45,8.42,11.94,Technology
PYPL,0.0,4.16,-0.0039000000000000003,0.5056,43.75,1.67,5.43,5.18,Miscellaneous
PBBI,1.55,0.91,-0.0461,0.23800000000000002,41.4,0.0,5.59,0.26,Finance
CNXN,0.0,1.62,-0.1352,0.22089999999999999,14.64,0.7,0.25,4.46,Consumer Services
PCMI,0.0,1.83,-0.3654,0.9129999999999999,11.84,0.33,0.11,1.65,Consumer Services
PDFS,0.0,2.62,-0.3245,0.2527,58.96,1.56,4.99,7.19,Technology
PDLI,0.0,0.5,-0.366,0.23829999999999998,26.26,0.64,3.65,7.28,Health Care
PGC,0.67,1.51,-0.0834,0.7245999999999999,17.96,0.0,4.25,2.37,Finance
PEGA,0.21,12.12,-0.020499999999999997,1.3149000000000002,104.95,1.91,5.49,4.71,Technology
PCO,0.0,0.83,-0.18530000000000002,0.2917,50.0,0.0,3.25,0.55,Miscellaneous
PVAC,0.0,3.09,-0.2992,0.2498,2.88,1.33,5.07,0.99,Energy
PWOD,4.73,1.35,-0.2465,0.0407,15.56,0.0,3.65,7.35,Finance
PTXP,5.92,3.83,-0.0025,0.3975,77.13,0.37,10.56,0.4,Public Utilities
PEBO,2.59,1.25,-0.12359999999999999,0.5882000000000001,17.74,2.01,3.58,4.04,Finance
PEBK,1.75,1.38,-0.1242,0.455,16.67,0.0,2.88,0.24,Finance
PFBX,0.0,0.76,-0.2073,0.3039,406.25,0.0,2.93,1.86,Finance
PFIS,3.1,1.14,-0.2087,0.10710000000000001,15.16,0.0,4.02,19.46,Finance
PBCT,4.09,1.06,-0.16190000000000002,0.2225,18.2,4.45,4.04,12.03,Finance
PBCTP,4.98,1.77,-0.028900000000000002,0.1704,30.3,0.0,6.78,0.0,Finance
PUB,1.24,1.97,-0.07719999999999999,0.5889,18.76,2.29,5.3,2.65,Finance
PRFT,0.0,1.66,-0.2555,0.19219999999999998,33.67,36.08,1.36,4.34,Technology
PERI,0.0,0.63,-0.3151,0.7340000000000001,38.81,0.0,0.44,3.67,Technology
PERY,0.0,0.87,-0.3503,0.0992,22.4,0.76,0.34,8.34,Consumer Non-Durables
PETS,2.32,7.51,-0.039599999999999996,0.9469,29.45,2.7,2.81,17.73,Health Care
PGTI,0.0,4.09,-0.0833,0.2104,22.99,0.87,1.19,5.28,Capital Goods
PAHC,1.15,9.85,-0.0227,0.9181999999999999,21.4,5.21,1.81,2.46,Health Care
PLAB,0.0,0.94,-0.15289999999999998,0.25,40.84,3.57,1.52,14.26,Technology
PPC,0.0,5.96,-0.1026,0.37200000000000005,14.26,-1.62,0.72,18.43,Consumer Non-Durables
PNFP,0.91,1.76,-0.1531,0.364,19.94,0.56,6.76,8.9,Finance
PXLW,0.0,6.15,-0.2026,1.8671,413.33,1.27,2.3,1.91,Technology
PLPM,0.0,4.38,-0.2938,0.2764,7.96,1.03,3.2,3.63,Miscellaneous
PLXS,0.0,1.82,-0.11800000000000001,0.2597,17.39,1.39,0.68,3.17,Technology
PLBC,1.47,1.85,-0.0359,1.1486,12.05,0.0,2.92,0.42,Finance
PBSK,1.23,0.99,-0.0646,0.22190000000000001,39.9,0.0,3.72,2.43,Finance
PNTR,0.0,2.0,-0.0091,1.0841,24.77,0.0,1.33,0.62,Technology
POOL,1.23,22.37,-0.0231,0.3823,33.28,1.89,1.91,4.24,Consumer Durables
POPE,3.78,5.35,-0.0366,0.19,30.82,0.0,3.7,3.61,Consumer Non-Durables
BPOP,2.6,0.76,-0.17600000000000002,0.41729999999999995,17.7,2.03,2.28,2.95,Finance
PBPB,0.0,2.18,-0.2577,0.0286,35.88,1.41,0.65,6.81,Consumer Services
PCH,3.33,11.49,-0.085,0.4286,66.12,4.29,2.95,5.31,Consumer Services
POWL,3.17,1.14,-0.3061,0.0751,40.47,-12.64,0.79,3.38,Consumer Durables
POWI,0.84,3.75,-0.0785,0.42450000000000004,38.48,1.14,4.92,5.08,Technology
PRAA,0.0,1.78,-0.1487,0.6575,16.73,1.16,2.04,9.69,Finance
PRAH,0.0,5.8,-0.0062,0.8438,43.23,1.21,2.76,3.1,Health Care
PLPC,1.65,1.08,-0.21660000000000001,0.33899999999999997,17.47,0.0,0.72,8.6,Basic Industries
PFBI,3.08,1.19,-0.1114,0.24239999999999998,17.07,0.0,3.39,2.78,Finance
PSMT,0.8,3.93,-0.0713,0.1623,29.43,2.22,0.9,13.21,Consumer Services
PNRG,0.0,1.23,-0.3079,0.0955,5.1,0.0,1.53,2.67,Energy
PRIM,0.95,2.37,-0.20379999999999998,0.44079999999999997,38.1,1.79,0.56,5.57,Basic Industries
PVTB,0.07,2.39,-0.011899999999999999,0.7562000000000001,22.47,1.93,6.63,2.25,Finance
PDEX,0.0,1.7535,-0.14305400000000001,0.518409,5.1664,0.0,1.0189,0.89,Health Care
PFIE,0.0,1.75,-0.13949999999999999,0.5579,67.27,1.13,2.94,1.81,Energy
PGNX,0.0,5.33,-0.43939999999999996,0.6425,67.73,-0.03,6.86,4.17,Health Care
PRPH,0.0,0.63,-0.2286,0.47659999999999997,0.76,0.0,1.54,0.75,Health Care
PVBC,0.0,1.73,-0.10039999999999999,0.4841,28.41,0.0,6.19,7.1,Finance
PROV,2.74,1.14,-0.0755,0.1072,22.85,-2.08,2.1,2.55,Finance
PBIP,0.65,1.2,-0.026699999999999998,0.32170000000000004,396.52,0.0,10.23,2.66,Finance
PMD,2.91,6.84,-0.2575,0.5685,13.68,0.0,2.65,1.76,Health Care
QCRH,0.45,1.95,-0.0592,0.7334999999999999,19.16,1.61,4.59,1.94,Finance
QGEN,0.0,3.08,-0.0021,0.5871999999999999,91.39,2.17,5.55,3.4,Health Care
QIWI,3.85,2.15,-0.0073,1.0604,17.0,3036.18,2.35,1.17,Miscellaneous
QCOM,3.9,2.73,-0.19690000000000002,0.13140000000000002,19.17,1.32,3.68,1.95,Technology
QSII,0.0,3.02,-0.0742,0.3874,50.76,2.6,1.81,6.68,Technology
QLYS,0.0,5.55,-0.0406,0.5009,45.61,3.35,7.71,5.36,Technology
QDEL,0.0,3.76,-0.0767,0.5776,207.58,2.97,3.85,22.9,Health Care
RDCM,0.0,5.79,-0.10289999999999999,0.7966,345.69,5.21,7.63,12.21,Technology
RDNT,0.0,6.89,-0.0915,0.4573,47.08,3.02,0.38,2.21,Health Care
RMBS,0.0,2.25,-0.1766,0.058499999999999996,170.57,1.3,3.75,7.54,Technology
GOLD,1.08,2.44,-0.2695,0.3688,33.36,5.5,6.94,3.95,Basic Industries
RNDB,0.0,0.97,-0.10300000000000001,0.22210000000000002,4933.33,0.0,2.84,1.41,Finance
RAVN,1.49,4.73,-0.0395,0.8906000000000001,45.58,2.86,4.18,2.15,Capital Goods
ROLL,0.0,3.43,-0.0499,0.46490000000000004,34.6,2.87,3.81,6.77,Capital Goods
